model,precision,recall,F-score,accuracy,time
random,0.487,0.513,0.5,0.496,0.87
bow,0.899,0.971,0.933,0.932,3.506
naive,0.913,0.964,0.938,0.937,3.502
knn,0.84,0.948,0.89,0.886,120.454
knn-cwc,0.902,0.942,0.922,0.921,110.288
svm,0.914,0.927,0.92,0.921,50.442
svm-cwc,0.936,0.918,0.927,0.929,38.249
ga,0.804,0.688,0.742,0.765,510.823
