model,precision,recall,F-score,accuracy,time
random,0.497,0.512,0.505,0.501,2.558
bow,0.744,0.779,0.761,0.757,11.275
naive,0.734,0.754,0.744,0.742,11.236
knn,0.694,0.712,0.703,0.701,515.474
knn-cwc,0.709,0.754,0.731,0.724,420.067
svm,0.724,0.746,0.735,0.733,179.178
svm-cwc,0.756,0.748,0.752,0.755,204.543
ga,0.585,0.514,0.547,0.578,608.337
